University,Faculty name,Year of BS,University BS,State BS,Country BS,Category US BS,Year of MS,University MS,State MS,Country MS,Category US MS,Year of Phd,University Phd,State Phd,Country Phd,Category US Phd,Year of PostDoc,University PostDoc,State PostDoc,Country PostDoc,Category US PstDoc,Year Asst. Prof,Area,Category Area,University Asst. Prof,Category University (Rank),Citation,,,,,,RAW Data,RAW Data,RAW Data,RAW Data,RAW Data,,,,,
Carnegie Mellon University,Matthew Fredrikson,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Alan Frieze,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Carol Frieze,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Phillip Gibbons,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Virgil Gligor,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Vipul Goyal,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Bernhard Haeupler,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Marijn Heule,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Jan Hoffmann,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Farnam Jahanian,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Limin Jia,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Michael Kaminsky,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Zeliha Dilsun Kaynar,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,David Kosbie,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Pravesh Kothari,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Ioannis Koutis,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Swarun Kumar,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Alexandros Labrinidis,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Golan Levin,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Brandon Lucia,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,John Mackey,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Ruben Martins,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Matthew Mason,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Roy Maxion,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Stefan Mitsch,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Matthew O'Toole,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Bryan Parno,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
